id	headword	status	parts_of_speech	cefr_levels	primary_skill	primary_reason	skill_labels	skill_confidence	source_count	sources	topics	image_mode	image_priority	homograph_candidate
competitive-b3b1197c	competitive	active	adjective	B1	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B1	contrast-pair	medium	false
competitor-52143c6b	competitor	active	noun	B1	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR B1	object-or-context-scene	high	false
compile-36d0981b	compile	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
complain-6a915782	complain	active	verb	A2|B1	reading	highest evidence score	listening|speaking|reading	review	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR A2	action-scene	high	false
complaint-903571af	complaint	active	noun	B1	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR B1	object-or-context-scene	high	false
complement-6d5c9dab	complement	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
complete-0737c22d	complete	active	adjective|verb	A1|B1	reading	highest evidence score	speaking|reading	medium	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR A1	multi-sense-panel	high	true
completely-36152587	completely	active	adverb	A2|B1	reading	highest evidence score	listening|speaking|reading	review	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR A2	manner-sequence	high	false
completion-cadc9141	completion	active	noun	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	concept-metaphor	medium	false
complex-6ff16b36	complex	active	adjective|noun	B1|B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 3000 by CEFR level	CEFR B1|CEFR B2	multi-sense-panel	medium	true
complexity-8d08946e	complexity	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
compliance-036cb735	compliance	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
complicated-d27c7a19	complicated	active	adjective	B1|B2	writing	advanced descriptive or abstract production word	reading|writing	review	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR B2	contrast-pair	high	false
complication-bc61eb92	complication	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
complimentary-a496d42f	complimentary	active	adjective	C1	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Complete CAE Extended Unit 06	Unit 06	contrast-pair	low	false
comply-80ce4d93	comply	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
component-335c4c1e	component	active	noun	B2	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B2	object-or-context-scene	medium	false
compose-537bac49	compose	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR B2	action-scene	medium	false
composer-874ad8df	composer	active	noun	B2	reading	highest evidence score	reading	high	2	Grammar and Vocabulary for First and First for Schools wordlist (2015)|Oxford 5000 by CEFR level	CEFR B2|Unit 27 | Music	object-or-context-scene	high	false
composite-6288c74c	composite	active	unspecified		listening	explicit IELTS listening source	listening	high	1	IELTS Listening 1200 High-Frequency Wordlist	材质 Materials	none	none	false
composition-e93600b8	composition	active	noun	B1|C1	writing	advanced descriptive or abstract production word	reading|writing	review	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 5000 by CEFR level	Alphabetical list: C|CEFR C1	concept-metaphor	high	false
compound-c2e2f801	compound	active	noun	B2	listening	explicit IELTS listening source	listening|reading	high	2	IELTS Listening 1200 High-Frequency Wordlist|Oxford 5000 by CEFR level	CEFR B2|教育 Studying	object-or-context-scene	high	false
comprehensive-a4b3ee46	comprehensive	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	review	2	Grammar and Vocabulary for First and First for Schools wordlist (2015)|Oxford 5000 by CEFR level	CEFR B2|Unit 42 | School and education	contrast-pair	high	false
comprise-48ce9885	comprise	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR B2	action-scene	medium	false
compromise-faaabf11	compromise	active	noun|verb|verb phrase	B2|C1	reading	highest evidence score	reading	high	2	Grammar and Vocabulary for First and First for Schools wordlist (2015)|Oxford 5000 by CEFR level	CEFR C1|Unit 41 | Teenagers and their rooms	multi-sense-panel	medium	true
compulsory-c66a1fd2	compulsory	active	adjective	B2|C1	listening	explicit IELTS listening source	listening|reading	high	4	Complete CAE Extended Unit 14|Grammar and Vocabulary for First and First for Schools wordlist (2015)|IELTS Listening 1200 High-Frequency Wordlist|Oxford 5000 by CEFR level	CEFR B2|Unit 14|Unit 42 | School and education|形容词 Adjectives	contrast-pair	high	false
compute-24989d8e	compute	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
computer-c60266a8	computer	active	noun	A1|A2|B1	reading	highest evidence score	speaking|reading	medium	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR A1	object-or-context-scene	high	false
computer-centre-da1c0b17	computer centre	active	unspecified		listening	explicit IELTS listening source	listening	high	1	IELTS Listening 1200 High-Frequency Wordlist	教育 Studying	none	none	false
computer-laboratory-bfbb4476	computer laboratory	active	unspecified		listening	explicit IELTS listening source	listening	high	1	IELTS Listening 1200 High-Frequency Wordlist	教育 Studying	none	none	false
computing-65f3926f	computing	active	noun	B2	reading	highest evidence score	reading|writing	medium	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 42 | School and education	object-or-context-scene	medium	false
conceal-3191ab37	conceal	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
concede-5cb248ea	concede	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
conceive-30d5be88	conceive	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
concentrate-0a45ca53	concentrate	active	verb	B1	listening	explicit IELTS listening source	listening	high	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|IELTS Listening 1200 High-Frequency Wordlist|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR B1|动词 Verbs	action-scene	high	false
concentration-66d80f5f	concentration	active	noun	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 3000 by CEFR level	CEFR B2	concept-metaphor	medium	false
concept-49376c9c	concept	active	noun	B2	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B2	object-or-context-scene	medium	false
conception-52bb76fb	conception	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
concern-c5c3bf59	concern	active	noun|verb	B2	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B2	multi-sense-panel	medium	true
concerned-aac69b54	concerned	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	review	2	Grammar and Vocabulary for First and First for Schools wordlist (2015)|Oxford 3000 by CEFR level	CEFR B2|Unit 28 | Feelings	contrast-pair	high	false
concert-9ff2adb3	concert	active	noun	A1|A2|B1	listening	explicit IELTS listening source	listening	high	4	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)|IELTS Listening 1200 High-Frequency Wordlist|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR A1|艺术 Arts	object-or-context-scene	high	false
concert-hall-2bb29c2a	concert hall	active	noun	B2	reading	highest evidence score	speaking|reading|writing	review	1	Grammar and Vocabulary for First and First for Schools wordlist (2015)	Unit 35 | Facilities	context-scene	medium	false
concession-c38674fc	concession	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
conclude-5c187656	conclude	active	verb	B1	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B1	action-scene	medium	false
conclusion-6a38a38f	conclusion	active	noun	B1	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR B1	concept-metaphor	high	false
concrete-aec5c8ea	concrete	active	adjective|noun	B2	listening	explicit IELTS listening source	listening|reading	high	2	IELTS Listening 1200 High-Frequency Wordlist|Oxford 5000 by CEFR level	CEFR B2|材质 Materials	multi-sense-panel	high	true
condemn-7177fe0a	condemn	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
condition-afad9a69	condition	active	noun	A2|B1	reading	highest evidence score	speaking|reading	medium	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR A2	concept-metaphor	high	false
condominium-402bf3ae	condominium	active	unspecified		listening	explicit IELTS listening source	listening	high	1	IELTS Listening 1200 High-Frequency Wordlist	家庭 Homes	none	none	false
conduct-1f005da3	conduct	active	noun|verb	B2|C1	reading	highest evidence score	reading	high	2	Complete CAE Extended Unit 13|Oxford 3000 by CEFR level	CEFR B2|Unit 13	multi-sense-panel	high	true
conductor-433f12ff	conductor	active	noun	B2	listening	explicit IELTS listening source	listening|reading	high	2	Grammar and Vocabulary for First and First for Schools wordlist (2015)|IELTS Listening 1200 High-Frequency Wordlist	Unit 27 | Music|艺术 Arts	object-or-context-scene	high	false
confer-6f7ce528	confer	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
conference-089f6953	conference	active	noun	A2|B1	reading	highest evidence score	speaking|reading	medium	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR A2	concept-metaphor	high	false
confess-62d2b1f3	confess	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR B2	action-scene	medium	false
confession-7acc00d8	confession	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
confidence-01656883	confidence	active	noun	B2	listening	explicit IELTS listening source	listening|reading	high	2	IELTS Listening 1200 High-Frequency Wordlist|Oxford 3000 by CEFR level	CEFR B2|工作 Workplaces	concept-metaphor	high	false
confident-39a449bf	confident	active	adjective	B1|B2	listening	explicit IELTS listening source	listening|reading	high	4	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Grammar and Vocabulary for First and First for Schools wordlist (2015)|IELTS Listening 1200 High-Frequency Wordlist|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR B1|Unit 28 | Feelings|形容词 Adjectives	contrast-pair	high	false
configuration-0652e436	configuration	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
confine-181f12ff	confine	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
confined-space-6acf30c9	confined space	active	adjective|noun	C1	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Complete CAE Extended Unit 09	Unit 09	context-scene	low	false
confirm-d0c4047c	confirm	active	verb	B1	reading	highest evidence score	speaking|reading	medium	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR B1	action-scene	high	false
confirmation-38bd340c	confirmation	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
conflict-ae214513	conflict	active	noun|verb	B2	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B2	multi-sense-panel	medium	true
conformity-5484483a	conformity	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Complete CAE Extended Unit 10	Unit 10	concept-metaphor	low	false
confront-221422a7	confront	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
confrontation-fb324e23	confrontation	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
confuse-27d748cf	confuse	active	verb	B1	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B1	action-scene	medium	false
confused-bc622619	confused	active	adjective	B1	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR B1	contrast-pair	high	false
confusing-5bccaca1	confusing	active	adjective	B1|B2	writing	advanced descriptive or abstract production word	reading|writing	review	3	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Grammar and Vocabulary for First and First for Schools wordlist (2015)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR B2|Unit 37 | Television, cinema and theatre	contrast-pair	high	false
confusion-cfc8b23a	confusion	active	noun	B2	listening	explicit IELTS listening source	listening|reading	high	2	Oxford 5000 by CEFR level|Student IELTS Listening Unknowns 2026-08-01	CEFR B2|认知与沟通	concept-metaphor	high	false
congratulate-d740ea12	congratulate	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
congratulate-sb-on-sth-ca1d316d	congratulate sb on sth	active	verb|verb phrase	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 10	Unit 10	context-scene	low	false
congratulations-010d916d	congratulations!	active	exclamation	A2|B1	speaking	highest evidence score	listening|speaking	medium	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Cambridge KET and KET for Schools Vocabulary List (2009)	Alphabetical list: C	none	none	false
congregation-47c688b5	congregation	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
congressional-8e1a2cd8	congressional	active	adjective	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	contrast-pair	low	false
connect-f11a107f	connect	active	verb	A2|B1	reading	highest evidence score	listening|speaking|reading	review	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR A2	action-scene	high	false
connected-c5e23457	connected	active	adjective	A2	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR A2	contrast-pair	low	false
connection-814605c6	connection	active	noun	B1	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR B1	concept-metaphor	high	false
conquer-d9fe2033	conquer	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
conscience-91ef791a	conscience	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
conscious-eeb6ad95	conscious	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 3000 by CEFR level	CEFR B2	contrast-pair	medium	false
consciousness-e02c4a06	consciousness	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
consecutive-da4f063c	consecutive	active	adjective	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	contrast-pair	low	false
consensus-4f170d6a	consensus	active	noun	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	object-or-context-scene	low	false
consent-15b61788	consent	active	noun|verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	multi-sense-panel	low	true
consequence-f4475dac	consequence	active	noun	B1	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B1	concept-metaphor	medium	false
consequently-97332beb	consequently	active	adverb	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	manner-sequence	medium	false
conservation-338526e5	conservation	active	noun	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	concept-metaphor	medium	false
conservative-42dc7e4f	conservative	active	adjective|noun	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 3000 by CEFR level	CEFR B2	multi-sense-panel	medium	true
conserve-97bdcb5c	conserve	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
consider-9cef6dd4	consider	active	verb	A2|B1	reading	highest evidence score	listening|speaking|reading	review	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR A2	action-scene	high	false
considerable-72cb60c2	considerable	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	contrast-pair	medium	false
considerably-b1da21f6	considerably	active	adverb	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	manner-sequence	medium	false
considerate-6271c4b6	considerate	active	adjective	C1	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Complete CAE Extended Unit 10	Unit 10	contrast-pair	low	false
consideration-5e05bd28	consideration	active	noun	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 3000 by CEFR level	CEFR B2	concept-metaphor	medium	false
consist-80fd353e	consist	active	verb	B1	reading	highest evidence score	speaking|reading	medium	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR B1	action-scene	high	false
consistency-028944e4	consistency	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
consistent-8c305a07	consistent	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 3000 by CEFR level	CEFR B2	contrast-pair	medium	false
consistently-94f2f00e	consistently	active	adverb	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	manner-sequence	medium	false
console-sb-edc470bb	console sb	active	verb	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 11	Unit 11	context-scene	low	false
consolidate-47a72197	consolidate	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
consonant-37a9d696	consonant	active	noun	B1	reading	highest evidence score	listening|speaking|reading|writing	review	1	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)	Alphabetical list: C	object-or-context-scene	medium	false
conspiracy-61656283	conspiracy	active	noun	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	concept-metaphor	medium	false
constant-d810ca96	constant	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 3000 by CEFR level	CEFR B2	contrast-pair	medium	false
constant-pressure-f5424815	constant pressure	active	adjective|noun	C1	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Complete CAE Extended Unit 04	Unit 04	context-scene	low	false
constantly-1d78db90	constantly	active	adverb	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 3000 by CEFR level	CEFR B2	manner-sequence	medium	false
constituency-e2907a2e	constituency	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
constitute-0293238b	constitute	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
constitution-ef757395	constitution	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
constitutional-53c20030	constitutional	active	adjective	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	contrast-pair	low	false
constraint-9f454fd4	constraint	active	noun	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	object-or-context-scene	low	false
construct-b012113a	construct	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B2	action-scene	medium	false
construction-535ae678	construction	active	noun	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 3000 by CEFR level	CEFR B2	concept-metaphor	medium	false
consult-190b435b	consult	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR B2	action-scene	medium	false
consultant-dd4b89df	consultant	active	noun	B2	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR B2	object-or-context-scene	medium	false
consultation-28639263	consultation	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
consume-4bbe204f	consume	active	verb	B1	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B1	action-scene	medium	false
consumer-cb7a82c3	consumer	active	noun	B1	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B1	object-or-context-scene	medium	false
consumerism-4ab390db	consumerism	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Complete CAE Extended Unit 02	Unit 02	concept-metaphor	low	false
consumption-75d837b4	consumption	active	noun	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR B2	concept-metaphor	medium	false
contact-1a73af9e	contact	active	noun|verb	B1	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR B1	multi-sense-panel	high	true
contain-c1380af4	contain	active	verb	A2|B1	reading	highest evidence score	listening|speaking|reading	review	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR A2	action-scene	high	false
container-255a762c	container	active	noun	B1	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B1	object-or-context-scene	medium	false
container-ship-03da9cd2	container ship	active	unspecified		listening	explicit IELTS listening source	listening	high	1	IELTS Listening 1200 High-Frequency Wordlist	出行 Transportations	none	none	false
contaminated-c076bfe6	contaminated	active	unspecified		listening	explicit IELTS listening source	listening	high	1	IELTS Listening 1200 High-Frequency Wordlist	环境 Environment	none	none	false
contemplate-2761b985	contemplate	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
contemplate-sth-0f478fb5	contemplate sth	active	verb	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 03	Unit 03	context-scene	low	false
contemporary-49eafe93	contemporary	active	adjective	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 3000 by CEFR level	CEFR B2	contrast-pair	medium	false
contempt-f8be79ed	contempt	active	noun	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	object-or-context-scene	low	false
contend-107b8d03	contend	active	verb	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	action-scene	low	false
contender-8e07c877	contender	active	noun	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	object-or-context-scene	low	false
content-040f06fd	content	active	adjective|noun	B1|C1	writing	advanced descriptive or abstract production word	reading|writing	review	2	Oxford 3000 by CEFR level|Oxford 5000 by CEFR level	CEFR B1|CEFR C1	multi-sense-panel	high	true
contention-f08d0c59	contention	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
contentious-issue-39ebada3	contentious issue	active	noun|noun phrase	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 14	Unit 14	context-scene	low	false
contents-4a756ca0	contents	active	noun	B1	reading	highest evidence score	listening|speaking|reading|writing	review	1	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)	Alphabetical list: C	object-or-context-scene	medium	false
contest-86d9312f	contest	active	noun|verb	B1|B2	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR B2	multi-sense-panel	high	true
context-ec2727b3	context	active	noun	A2	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR A2	object-or-context-scene	low	false
continent-15bfe840	continent	active	noun	A2|B1	reading	highest evidence score	speaking|reading	medium	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR A2	object-or-context-scene	high	false
continually-9a698970	continually	active	adverb	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	manner-sequence	low	false
continue-eee0bbba	continue	active	verb	A2|B1	reading	highest evidence score	listening|speaking|reading	review	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR A2	action-scene	high	false
continuous-d0e1717b	continuous	active	adjective	B1	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B1	contrast-pair	medium	false
continuum-549ab1b6	continuum	active	noun	C1	reading	highest evidence score	reading|writing	medium	1	Complete CAE Extended Unit 08	Unit 08	object-or-context-scene	low	false
contract-d61ceadb	contract	active	noun|verb	B1|B2	reading	highest evidence score	reading	high	2	Cambridge B1 Preliminary and Preliminary for Schools Vocabulary List (2025)|Oxford 3000 by CEFR level	Alphabetical list: C|CEFR B2	multi-sense-panel	high	true
contractor-864dc49f	contractor	active	noun	C1	reading	highest evidence score	reading	high	1	Oxford 5000 by CEFR level	CEFR C1	object-or-context-scene	low	false
contractual-16530fa4	contractual	active	adjective	C1	writing	advanced descriptive or abstract production word	reading|writing	medium	1	Complete CAE Extended Unit 11	Unit 11	contrast-pair	low	false
contradiction-7c0f68a8	contradiction	active	noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	concept-metaphor	low	false
contrary-69b32abf	contrary	active	adjective|noun	C1	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 5000 by CEFR level	CEFR C1	multi-sense-panel	low	true
contrast-fd4b7831	contrast	active	noun|verb	B1	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B1	multi-sense-panel	medium	true
contribute-d97edb15	contribute	active	verb	B2	reading	highest evidence score	reading	high	1	Oxford 3000 by CEFR level	CEFR B2	action-scene	medium	false
contribution-6a411c76	contribution	active	noun	B2	writing	advanced descriptive or abstract production word	reading|writing	review	1	Oxford 3000 by CEFR level	CEFR B2	concept-metaphor	medium	false
